Sample_Name,Fastq_Name,Slide_Name,Slide_ID,Area
AD2_S1,25517-01-03-01-01,CAVG10983_2025-10-28_18-36-39_2025-10-28_17-22-42,H1-8X88PGV,A1
AD2_S2,25517-01-04-01-01,CAVG10983_2025-10-28_18-36-39_2025-10-28_17-22-42,H1-8X88PGV,D1
