Sample_Name,Fastq_Name,Slide_Name,Slide_ID,Area
ffpeAD2_S3,Y12540_OscarH_ffpeAD2_S3_V1G_1,CAVG10370_2024-09-20_11-56-30_nick,H1-88ZJXH4,A1
ffpeAD3_S1,Y12541_OscarH_ffpeAD3_S1_V1G_1,CAVG10370_2024-09-20_11-56-30_nick,H1-88ZJXH4,D1
